model,n,WAPE_pct,MAPE_nonzero_pct,MAE,RMSE,R2,bias_pct
V8 final annual,248,3.426901426870456,3.6753070514162376,1076.7539984562752,1666.6011552951156,0.9794960621139234,-0.5568724903637666
V8 hybrid agronomic annual,248,3.426901426870456,3.6753070514162376,1076.7539984562752,1666.6011552951156,0.9794960621139234,-0.5568724903637666
Random Forest annual direct,248,4.389833574534138,4.644664467567113,1379.3133402888272,1956.0294298692004,0.9717560983851107,-1.8558300036301545
XGBoost annual direct,248,4.591084852687445,4.883291857980213,1442.5477586315524,2086.5429389159726,0.9678612801902894,-1.7838279193557052
Persistence annual,248,6.554666076752199,6.913928316625249,2059.5173387096775,3134.9522114032707,0.9274502750493052,0.018234629881100084
CNN-BiLSTM-Attention annual,248,7.426389955815335,7.6446858870126535,2333.418468450731,3321.250742770421,0.9185713472198613,-0.2001010426376104
