model,n,WAPE_pct,MAPE_nonzero_pct,MAE,RMSE,R2,bias_pct
XGBoost monthly one-step,372,22.1442790465138,22.748468553577062,584.4929380763466,2046.809334757295,0.6677761233310309,-17.04656181343556
Agronomic monthly one-step,372,22.32894898168659,21.498062668747178,589.3672567550801,2099.596462588201,0.6504190739411829,-17.304076177399175
V8 final monthly one-step,372,22.42285669824628,26.477798999783296,591.8459284266539,2041.1117154781996,0.6696231449946018,-16.24923747344443
Seasonal lag-12 monthly,372,47.76220180171042,146.2939667101012,1260.6718693093806,3092.5775385758225,0.24156693532236162,0.641622945626506
CNN-BiLSTM-Attention monthly,372,57.472328955660366,132.565933531132,1516.9683482954786,2952.695303750609,0.30862554309174994,-26.903245197199837
