target_year,kecamatan,produksi_ton,pred_xgb_produksi_ton,pred_persistence_produksi_ton,pred_rf_produksi_ton,pred_xgb_luas_panen_bersih_ha,pred_rf_luas_panen_bersih_ha,pred_xgb_yield_t_ha,pred_rf_yield_t_ha,pred_deep_produksi_ton,pred_hybrid_harvest_ha,pred_hybrid_yield_t_ha,pred_hybrid_agronomic_produksi_ton,prediksi_final_produksi_ton_v8
2018,AJUNG,42073.0,40950.938,40552.0,40918.64025023497,7227.1016,7680.54051331604,5.80571,5.8501180987123185,37635.277,7680.54051331604,5.8501180987123185,44932.06906484337,44932.06906484337
2018,AMBULU,22474.0,24584.027,22176.0,23181.405661215904,3690.753,3682.270663074234,6.2175026,6.12039363518397,24066.584,3682.270663074234,6.12039363518397,22536.945929304202,22536.945929304202
2018,ARJASA,19186.0,19677.34,19002.0,19189.502228625784,3410.921,3383.7514921294555,5.7062063,5.793490247480024,16545.426,3383.7514921294555,5.793490247480024,19603.73126954798,19603.73126954798
2018,BALUNG,35872.0,35603.71,36018.0,35941.37232274522,5850.0615,5846.848970253425,6.24196,6.318793289663807,34520.81,5846.848970253425,6.318793289663807,36945.03003891509,36945.03003891509
2018,BANGSALSARI,50238.0,46911.46,49841.0,50818.54928958918,8517.873,8557.433345168314,6.094308,5.950488186905567,48333.37,8557.433345168314,5.950488186905567,50920.90603065584,50920.90603065584
2018,GUMUKMAS,46228.0,43175.633,38164.0,44130.19233635162,7560.142,8012.754067854141,5.8661976,5.825924110722395,38263.89,8012.754067854141,5.825924110722395,46681.69711720039,46681.69711720039
2018,JELBUK,16389.0,16165.288,17218.0,16482.15654174502,2754.0142,2651.365716157849,5.963151,5.930479479183926,16576.81,2651.365716157849,5.930479479183926,15723.869971485918,15723.869971485918
2018,JENGGAWAH,42491.0,41023.016,41015.0,40512.04019546909,7300.951,7002.7445262921365,6.001046,5.988965604858204,41759.72,7002.7445262921365,5.988965604858204,41939.19610757266,41939.19610757266
2018,JOMBANG,42853.0,39569.05,39896.0,39072.876813131305,6584.8193,6596.771492347469,6.3201914,6.547225597520734,41084.84,6596.771492347469,6.547225597520734,43190.5511756924,43190.5511756924
2018,KALISAT,26218.0,26309.89,26117.0,26315.647186130285,4680.331,4746.847141759085,5.6228275,5.601907249182411,28011.55,4746.847141759085,5.601907249182411,26591.39741418103,26591.39741418103
2018,KALIWATES,8125.0,10074.155,8623.0,8825.426120268743,1632.5377,1525.5193180842157,5.943246,5.964654103659625,9080.205,1525.5193180842157,5.964654103659625,9099.19506082305,9099.19506082305
